N,true_prev,n,Se,n_Se,Sp,n_Sp,repl,coverage_prLik_mean,width_prLik_mean,width_prLik_sd,loc_prLik_mean,loc_prLik_sd,loc_RG_mean,loc_RG_sd
50,0.05,5,0.9,1000,0.9,50,5000,0.975,0.588992,0.123081492299815,0.0993513246881581,0.136416561015901,0.0990292544662782,0.1367555997658
50,0.1,5,0.9,1000,0.9,50,5000,0.971,0.6254,0.137832650587274,0.143946731128827,0.170764418120556,0.143638676870111,0.171154308795957
50,0.2,5,0.9,1000,0.9,50,5000,0.9828,0.681916,0.1447827384472,0.220053299508414,0.20617622563959,0.219741730417421,0.206621711380873
50,0.5,5,0.9,1000,0.9,50,5000,0.9648,0.776512,0.126772268645866,0.496067633609377,0.255205271853516,0.495936077094882,0.255536909235684
50,0.01,5,0.99,1000,0.9,50,5000,0.9718,0.500808,0.0997624059630115,0.0657880614889051,0.106429385170055,0.0653561323931582,0.106457232732426
50,0.02,5,0.99,1000,0.9,50,5000,0.9778,0.51534,0.107293367797617,0.0799112838834496,0.117806368574308,0.0793590381599268,0.117838049745644
50,0.05,5,0.99,1000,0.9,50,5000,0.9802,0.528968,0.113646812958477,0.0948162808963609,0.128344135171062,0.0942834631827804,0.128419066321695
50,0.1,5,0.99,1000,0.9,50,5000,0.9706,0.566588,0.126374809097679,0.138934082876812,0.156134880583585,0.138269574771807,0.156129003746123
50,0.2,5,0.99,1000,0.9,50,5000,0.9804,0.626552,0.131558856952197,0.225937988458648,0.197374164606594,0.224998498625759,0.197065897483682
50,0.5,5,0.99,1000,0.9,50,5000,0.9646,0.708612,0.098553620020798,0.496157400013632,0.244116410013621,0.493932059291145,0.242988758944966
50,0.01,5,0.8,50,0.99,50,5000,0.9676,0.586336,0.0655627546626878,0.0124075771336344,0.0545069847384494,0.012705368256821,0.0557766142363921
50,0.02,5,0.8,50,0.99,50,5000,0.9964,0.600424,0.0799198201920644,0.0298980619354472,0.0821573908206785,0.0306071794679402,0.0840053004188061
50,0.05,5,0.8,50,0.99,50,5000,0.9884,0.61612,0.0941666558385417,0.0502642576239244,0.105282730070739,0.0514006650244335,0.10742792831873
50,0.1,5,0.8,50,0.99,50,5000,0.9638,0.657536,0.116876091259682,0.107967277536731,0.151575959760441,0.110073634333369,0.153801485340817
50,0.2,5,0.8,50,0.99,50,5000,0.9692,0.71204,0.126180120005241,0.208926263306818,0.203940911934582,0.21207311028839,0.205478216301533
50,0.5,5,0.8,50,0.99,50,5000,0.9824,0.765368,0.116519440146211,0.49330063408602,0.262333103791,0.497077426263313,0.262056620269558
50,0.01,5,0.9,50,0.99,50,5000,0.9696,0.508848,0.0477954995575482,0.0104525746712349,0.0465208415305085,0.0107260354680313,0.0477121243257074
50,0.02,5,0.9,50,0.99,50,5000,0.9948,0.524392,0.0672833987484984,0.0306998103359178,0.0774713100132347,0.0314788742852615,0.0793214953713124
50,0.05,5,0.9,50,0.99,50,5000,0.9858,0.537988,0.0793181576313142,0.0479542127936506,0.0966003122841866,0.0490965699520239,0.0986128936444058
50,0.1,5,0.9,50,0.99,50,5000,0.9856,0.5763,0.101391745508258,0.101873399266609,0.136289734073863,0.103977772895665,0.13825368089491
50,0.2,5,0.9,50,0.99,50,5000,0.9616,0.636592,0.114719735266134,0.201918535539034,0.186616731911071,0.204820207981835,0.187461814854514
50,0.5,5,0.9,50,0.99,50,5000,0.9646,0.714852,0.0993492433309388,0.502949854787723,0.239321729194755,0.50514148107067,0.23816098256103
50,0.01,5,0.99,50,0.99,50,5000,0.9702,0.453468,0.0344169998979631,0.00981509325872129,0.0430042780157083,0.0100863019564903,0.0441498804514342
50,0.02,5,0.99,50,0.99,50,5000,0.9932,0.468184,0.0551669359504806,0.0290128460135675,0.0720916703428415,0.0297874423404885,0.0738642671058939
50,0.05,5,0.99,50,0.99,50,5000,0.9852,0.48188,0.0676338707164806,0.0478041934209744,0.0906249147562401,0.0490266450607378,0.0926194462413977
50,0.1,5,0.99,50,0.99,50,5000,0.9924,0.520376,0.088803580103326,0.103374243970946,0.131715604386828,0.105454856544642,0.133293317861486
50,0.2,5,0.99,50,0.99,50,5000,0.9636,0.577888,0.097120883177563,0.201000200431452,0.174208376170751,0.20362209040508,0.174242800803882
50,0.5,5,0.99,50,0.99,50,5000,0.9478,0.65602,0.0711986899506595,0.502340418891787,0.219641741478055,0.502299271551723,0.216854554747678
50,0.01,5,0.8,100,0.99,50,5000,0.9746,0.576564,0.0495706097710187,0.00991728408699034,0.047259798821265,0.0101613995902047,0.048428857888214
50,0.02,5,0.8,100,0.99,50,5000,0.9968,0.591396,0.0707469590190426,0.0295012121880903,0.0808785022644054,0.030204975091895,0.0827291138613077
50,0.05,5,0.8,100,0.99,50,5000,0.9898,0.608332,0.086119806666179,0.050506504280039,0.103395450973802,0.0516605725946457,0.10557627683668
50,0.1,5,0.8,100,0.99,50,5000,0.9608,0.647904,0.109518608688797,0.108444231954199,0.151702375184106,0.110531866455582,0.15387670581716
50,0.2,5,0.8,100,0.99,50,5000,0.97,0.699812,0.121735979010797,0.200205305588975,0.201017780745243,0.203228325237658,0.202502802600137
50,0.5,5,0.8,100,0.99,50,5000,0.9854,0.761904,0.119010619229957,0.498128665730648,0.262656563233745,0.501527725827119,0.262027948264828
50,0.01,5,0.9,100,0.99,50,5000,0.9674,0.50502,0.0422889734027003,0.0109014101112597,0.0477475573175378,0.011182770744873,0.0489441112622723
50,0.02,5,0.9,100,0.99,50,5000,0.9952,0.519244,0.0617448860245935,0.0294382494505149,0.075836615623345,0.0301827738839035,0.0776483185548761
50,0.05,5,0.9,100,0.99,50,5000,0.9882,0.534316,0.0755573552130126,0.0485788747422464,0.0956445048340978,0.049766456091396,0.0977335785542022
